player_id,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
006f18aa,Daiane,br BRA,D,Thorns,28-072,1997,7,1,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
1cb43c5f,Kenza Dali,fr FRA,M,Wave,34-110,1991,26,26,"2,335",25.9,5,3,8,5,0,0,2,0,2.9,2.9,4.2,7.2,83,182,123,0.19,0.12,0.31,0.19,0.31,0.11,0.16,0.28,0.11,0.28,Matches
543614ff,Tierna Davidson,us USA,D,Gotham FC,27-061,1998,3,3,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,12,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
85cea0cf,Debinha,br BRA,F,Current,34-029,1991,22,17,"1,462",16.2,8,1,9,7,1,1,0,0,6.0,5.2,3.7,9.0,39,85,122,0.49,0.06,0.55,0.43,0.49,0.38,0.24,0.62,0.33,0.57,Matches
8cfb97f5,Kate Del Fava,us USA,D,Royals,27-118,1998,26,26,"2,340",26.0,0,1,1,0,0,0,5,0,1.5,1.5,0.5,1.9,13,99,10,0.00,0.04,0.04,0.00,0.04,0.06,0.02,0.07,0.06,0.07,Matches
add26dda,Savannah Demelo,us USA,M,Louisville,27-237,1998,18,17,"1,413",15.7,3,2,5,2,1,1,4,0,4.3,3.6,2.6,6.2,24,76,77,0.19,0.13,0.32,0.13,0.25,0.28,0.17,0.44,0.23,0.40,Matches
6b6dbea9,Margie Detrizio,,M,Spirit,,,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
e940a089,Vanessa DiBernardo,us USA,M,Current,33-187,1992,13,11,886,9.8,0,1,1,0,0,0,1,0,0.7,0.7,1.4,2.1,19,58,27,0.00,0.10,0.10,0.00,0.10,0.07,0.14,0.21,0.07,0.21,Matches
5689807c,Claudia Dickey,us USA,G,Reign,25-316,2000,26,26,"2,340",26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2021c04f,Marisa DiGrande,us USA,M,Louisville,28-286,1997,23,5,696,7.7,1,0,1,1,0,0,2,0,0.6,0.6,0.6,1.2,5,28,18,0.13,0.00,0.13,0.13,0.13,0.08,0.07,0.15,0.08,0.15,Matches
2d4436d1,Makenzy Doniak,us USA,F,Wave,31-266,1994,21,4,508,5.6,1,0,1,1,0,0,1,0,1.6,1.6,1.3,2.9,13,19,60,0.18,0.00,0.18,0.18,0.18,0.28,0.24,0.52,0.28,0.52,Matches
cdb82d35,Sara Doorsoun,de GER,D,Angel City,34-001,1991,8,7,632,7.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,30,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
92f8713a,Imani Dorsey,us USA,D,Royals,29-242,1996,17,5,651,7.2,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.7,10,23,23,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
020fa352,Julie Doyle,us USA,M,Pride,27-080,1998,11,5,410,4.6,1,1,2,1,0,1,0,0,1.2,0.4,0.7,1.1,10,7,30,0.22,0.22,0.44,0.22,0.44,0.26,0.15,0.41,0.10,0.25,Matches
bf45da85,Dudinha,br BRA,F,Wave,20-137,2005,10,7,639,7.1,5,0,5,5,0,0,0,0,1.3,1.3,1.0,2.3,30,18,55,0.70,0.00,0.70,0.70,0.70,0.18,0.14,0.32,0.18,0.32,Matches
662d8aeb,Julie Dufour,fr FRA,F,Angel City,24-173,2001,10,4,370,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.7,0.8,9,10,18,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,Matches
